"site","fence","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","elev_mean_5x5","elev_sd_5x5","pct_slope_mean_5x5","pct_slope_sd_5x5","tree_vol_mean_5x5","tree_vol_sd_5x5","dist_rivers_mean_5x5","dist_rivers_sd_5x5","distance_to_perimeter","dist_cleared_mean_3x3","dist_cleared_sd_3x3","dist_cleared_mean_5x5","dist_cleared_sd_5x5","dist_dambo_mean_3x3","dist_dambo_sd_3x3","dist_dambo_mean_5x5","dist_dambo_sd_5x5","prop_M1_3x3","prop_M2_3x3","prop_M3_3x3","prop_Afromontane_3x3","prop_Water_3x3","prop_Dambo_3x3","prop_Rock_3x3","prop_Cleared_3x3","prop_M1_5x5","prop_M2_5x5","prop_M3_5x5","prop_Afromontane_5x5","prop_Water_5x5","prop_Dambo_5x5","prop_Rock_5x5","prop_Cleared_5x5"
"059",0,1054.55555555556,7.38429263895857,23.6666666666667,3.5,34.4666663275825,25.9376171757146,804.666666666667,17.1099386322687,1052.16,10.1475777076765,22.56,4.07308237088326,46.1079995727539,21.2171296811621,804.92,28.7951384785696,434.626281738281,17.9211001925998,15.4495448298368,29.4908251953125,15.4495448298368,372.379750569661,17.3201299348838,373.095715332031,17.3201299348838,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0.8,0.04,0,0,0,0,0.04,0.12
"095",0,1068.88888888889,2.57120810342359,9.33333333333333,2,80.7555558946398,13.3542257509799,1400.33333333333,17.3277234511635,1067.4,6.33113997107419,10.12,2.69752973415803,80.7720001220703,14.2432911734241,1400.6,28.8790581563873,1610.77624511719,447.428124321832,16.8548217282562,444.830539550781,16.8548217282562,540.123521592882,17.3175358417502,540.370950927734,17.3175358417502,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0.68,0.32,0,0,0,0,0,0
"003",0,1029.33333333333,4.35889894354067,16,0,68.3444438510471,10.9488720105301,1900,17.3205080756888,1029.56,7.36591248024755,15.8,1.5,68.3679992675781,11.9577639977442,1900,28.8675134594813,698.927734375,87.0978266398112,16.3007506166047,82.9971481323242,16.3007506166047,313.402598063151,17.3541134660267,313.80767578125,17.3541134660267,0.777777777777778,0.222222222222222,0,0,0,0,0,0,0.76,0.24,0,0,0,0,0,0
"111",0,1059,3.1224989991992,12.8888888888889,1.90029237516523,83.4222242567274,12.3998787501436,3106.77777777778,17.1593835683117,1057.6,6.0896086354817,13.24,1.85472369909914,78.9800007629395,11.8925407868092,3106.84,28.8800392428173,1022.39916992188,108.946443345812,17.233876630722,111.469326477051,17.233876630722,360.925116644965,17.3115234595556,361.666265869141,17.3115234595556,0.222222222222222,0.777777777777778,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0
"206",0,1105.33333333333,2.73861278752583,10,3,102.144448174371,11.8989631233164,1750.66666666667,17.4355957741627,1107.56,3.96946679878629,9.84,4.34626276242015,100.564003601074,12.4758073141239,1750.76,28.9255942030583,2180.4814453125,1025.02035183377,17.3192285744408,1025.28062988281,17.3192285744408,200.665625678168,17.3196954529565,201.993537597656,17.3196954529565,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0.04,0.92,0.04,0,0,0,0,0
"044",0,1077.77777777778,1.98606254796883,6,1.5,116.444450378418,22.9607362639633,2390,17.514279888137,1076.96,3.42150064542836,5.72,2.52520626220249,118.108006286621,20.9628246453994,2390.04,28.9230012273969,948.103332519531,1377.77600097656,17.3202209075559,1377.96955566406,17.3202209075559,362.583947075738,17.305898046748,363.323312988281,17.305898046748,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0.68,0.32,0,0,0,0,0
"156",0,1002.88888888889,6.31356564162527,21,4.5,0,0,613.333333333333,17.3925271309261,1000,9.1606040557742,20.8,6.04152298679729,0,0,613.68,28.800636567039,605.392395019531,28.6363321940104,15.0816289435147,22.8293048095703,15.0816289435147,80,17.3205080756888,80.5625869750977,17.3205080756888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"174",0,1048.66666666667,6.06217782649107,19.6666666666667,6.30476010645925,13.5,28.8000002801418,1102.88888888889,17.3525534464272,1050.44,9.89141041510259,19.32,6.34901567173999,17.7959996032715,27.7156161040609,1102.88,28.8867328255262,1934.94189453125,8.88888888888889,10.5409255338946,10.7313708496094,10.5409255338946,512.900377061632,17.3163791912726,513.42103515625,17.3163791912726,0.111111111111111,0.111111111111111,0,0,0,0,0,0.777777777777778,0.28,0.04,0,0,0,0,0,0.68
"136",0,1080.88888888889,3.14024061356946,8.66666666666667,2.54950975679639,0,0,1416.22222222222,17.3333333333333,1079.92,5.1309518285272,8.64,2.59615099714943,0,0,1416.4,28.8877136513086,1888.30615234375,4.44444444444444,8.81917103688197,7.86274169921875,8.81917103688197,424.578589545356,17.3102258571083,425.209008789063,17.3102258571083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"149",0,1053,2.54950975679639,6,3,82.4666675991482,20.4369779284075,776.444444444444,17.4220486102461,1055.92,5.22749143152494,7.28,4.05709255502016,98.8160034179687,26.1211745285298,776.76,28.8448146697692,4225.873046875,224.204696655273,17.2854455920729,225.409087524414,17.2854455920729,310.913397894965,17.305097915305,311.775787353516,17.305097915305,0.444444444444444,0.555555555555556,0,0,0,0,0,0,0.28,0.44,0.28,0,0,0,0,0
"169",0,1048.44444444444,3.84418753155693,10.3333333333333,5.5,135.333338419596,14.207041754018,412.333333333333,17.3637553541853,1052.36,5.8229431275487,11.44,4.9756071656298,124.796005859375,16.9828236064299,412.88,28.8506499060246,5505.37890625,1370.20681423611,17.3204228218268,1370.21592285156,17.3204228218268,444.372229682075,17.3201419684354,444.972257080078,17.3201419684354,0,0,1,0,0,0,0,0,0,0.32,0.68,0,0,0,0,0
"008",0,1113.55555555556,3.94053013917896,14.2222222222222,0.666666666666667,85.4111124674479,10.0582600430503,1555.33333333333,17.3925271309261,1114.6,5.43139024560011,14.32,0.748331477354788,88.204002532959,20.0228318311403,1555.6,28.9338325609772,4815.02880859375,1168.36067708333,17.3205246946769,1168.58890625,17.3205246946769,122.761511908637,17.1992127796711,124.67625793457,17.1992127796711,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0.08,0.76,0.16,0,0,0,0,0
"092",0,1007.66666666667,6.08276253029822,21.6666666666667,3.5,7.33333333333333,22,1226,17.058722109232,1002.2,10.3923048454133,21.64,9.48630591958746,33.4239999389648,36.1223878283126,1226.32,28.8829823021562,818.840637207031,4.44444444444444,8.81917103688197,12.9941125488281,8.81917103688197,101.325383504232,17.3150865196453,103.960152282715,17.3150865196453,0.111111111111111,0,0,0,0,0,0,0.888888888888889,0.36,0.12,0,0,0,0,0,0.52
"164",0,1072.11111111111,4.13655788199695,15,0,4.3999998304579,13.1999994913737,2066.77777777778,17.2465777603687,1071,5.44671154612273,13.28,2.09204843793509,8.4479997253418,20.029667340781,2066.8,28.9309522829789,2207.35131835938,4.44444444444444,8.81917103688197,4.8,8.81917103688197,113.534488254123,17.2817814277389,113.865119628906,17.2817814277389,0.111111111111111,0,0,0,0,0,0,0.888888888888889,0.16,0,0,0,0,0,0,0.84
