"","x","y","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","dist_dambo_mean","dist_boundary_mean","fence"
"72",616934.553146464,8608443.56981065,622.691955566406,2.48256611824036,9.44026851654053,1.96207916736603,74.1235961914062,20.9040870666504,1320.43237304688,17.1794681549072,1734.89904785156,462.993774414062,0
"106",607847.742019141,8607448.95248058,733.726440429688,8.17344856262207,30.1810474395752,3.60607361793518,70.1051635742188,21.0761966705322,2180.89086914062,17.323112487793,165.874984741211,460.352203369141,0
"107",608857.387699954,8607448.95248058,820.217163085938,6.08989381790161,21.9399547576904,2.7427990436554,68.9482879638672,16.5281715393066,3158.25,17.3071517944336,318.953857421875,889.723693847656,0
"108",609867.033380768,8607448.95248058,734.654907226562,5.52131795883179,19.7016525268555,2.45026969909668,73.6256637573242,18.5645294189453,3719.37109375,17.1181106567383,678.067199707031,1403.82434082031,0
"109",610876.679061582,8607448.95248058,712.109436035156,4.67771625518799,16.132791519165,2.58955693244934,83.6724624633789,15.5144844055176,2984.1171875,17.3219909667969,496.477783203125,1774.25390625,0
"110",611886.324742396,8607448.95248058,724.151672363281,4.44259452819824,15.13072681427,2.62890338897705,86.8871459960938,15.1481447219849,2120.76538085938,17.3207206726074,794.651611328125,1954.80493164062,0
"111",612895.97042321,8607448.95248058,692.357238769531,4.61421537399292,15.8001289367676,2.6230685710907,95.0577545166016,15.5924606323242,1356.96215820312,17.3120555877686,1066.9228515625,1549.73303222656,0
"112",613905.616104023,8607448.95248058,680.547119140625,5.02267503738403,17.4596557617188,2.67806267738342,88.2084579467773,14.6921367645264,699.787292480469,17.2238483428955,855.355407714844,1498.36755371094,0
"113",614915.261784837,8607448.95248058,618.022583007812,5.19031715393066,18.158618927002,2.87608242034912,75.3332061767578,16.2103481292725,220.006469726562,16.8553085327148,324.468841552734,1896.166015625,0
"114",615924.907465651,8607448.95248058,630.699768066406,2.78984642028809,9.18313121795654,1.87378835678101,67.0670852661133,13.1205644607544,914.109375,17.217306137085,812.247619628906,1790.03735351562,0
"115",616934.553146464,8607448.95248058,634.257141113281,2.24889397621155,7.38612174987793,1.48975598812103,36.3373870849609,15.4015922546387,1138.58764648438,17.0961208343506,1624.15710449219,1280.13122558594,0
"116",617944.198827278,8607448.95248058,602.882263183594,2.56278371810913,7.89916801452637,1.65671861171722,20.4674224853516,15.5274839401245,424.304504394531,17.318359375,1532.19055175781,645.036437988281,0
"147",605828.450657513,8606454.33515051,684.185119628906,4.39633464813232,15.1896133422852,2.45272207260132,84.8816833496094,20.9899082183838,472.255584716797,17.314847946167,1020.85229492188,187.042602539062,0
"148",606838.096338327,8606454.33515051,703.530029296875,5.18049335479736,18.3440475463867,2.67611742019653,95.2420043945312,19.4113750457764,1128.67004394531,17.322395324707,360.556762695312,542.664672851562,0
"149",607847.742019141,8606454.33515051,753.236022949219,5.55365657806396,19.6414642333984,2.67022919654846,102.005523681641,18.8314189910889,2099.298828125,17.3203086853027,503.649169921875,1183.54663085938,0
"150",608857.387699954,8606454.33515051,812.366271972656,4.61387586593628,16.4181995391846,2.18295431137085,86.7556228637695,16.0626754760742,2937.33544921875,17.1155853271484,888.916076660156,1680.08813476562,0
"151",609867.033380768,8606454.33515051,750.338684082031,6.49541807174683,23.2942943572998,2.94132852554321,97.9755020141602,16.996654510498,2916.53076171875,17.3109397888184,493.19873046875,2261.47412109375,0
"152",610876.679061582,8606454.33515051,794.891418457031,5.55357122421265,19.7657413482666,2.60146737098694,60.838939666748,11.4181852340698,2567.71240234375,17.2536659240723,251.998870849609,2677.03784179688,0
"153",611886.324742396,8606454.33515051,772.389526367188,4.583083152771,15.6955671310425,2.65336036682129,62.9117088317871,12.5663032531738,1712.33911132812,17.3001689910889,273.1083984375,2838.74926757812,0
"154",612895.97042321,8606454.33515051,690.501037597656,4.51905393600464,15.4943933486938,2.51247906684875,89.5408935546875,14.8994207382202,769.990844726562,17.3125095367432,773.037658691406,2496.80737304688,0
"155",613905.616104023,8606454.33515051,642.390869140625,5.29289531707764,18.2642192840576,3.23363018035889,84.9783554077148,15.5300750732422,201.971939086914,16.6772594451904,380.098205566406,2463.4755859375,0
"156",614915.261784837,8606454.33515051,644.371765136719,5.1349630355835,17.9880485534668,2.64215517044067,76.5768814086914,14.506441116333,277.832611083984,16.8563175201416,283.030609130859,2777.70874023438,0
"157",615924.907465651,8606454.33515051,663.204284667969,2.56660032272339,8.52401447296143,1.63713955879211,59.6308479309082,10.6486310958862,1069.12219238281,17.0459003448486,636.6767578125,2639.1845703125,0
"158",616934.553146464,8606454.33515051,634.004699707031,2.57370805740356,8.48571872711182,1.69432878494263,51.119499206543,14.365161895752,587.854248046875,17.2223320007324,1194.61401367188,2039.66381835938,0
"159",617944.198827278,8606454.33515051,606.857421875,2.80756831169128,8.87241458892822,1.74617457389832,53.863941192627,19.1149044036865,236.737731933594,16.7727794647217,617.728576660156,1461.14123535156,0
"160",618953.844508092,8606454.33515051,595.83544921875,2.7886655330658,5.34359550476074,1.03312468528748,27.8507766723633,22.6300430297852,794.202941894531,17.3335647583008,877.528747558594,800.263671875,0
"190",605828.450657513,8605459.71782044,682.601684570312,3.83174896240234,12.3044719696045,2.04066967964172,82.5190811157227,18.9306087493896,1523.56481933594,17.3195056915283,566.298767089844,234.349609375,0
"191",606838.096338327,8605459.71782044,756.590637207031,6.62222480773926,23.6852741241455,3.11704325675964,99.282112121582,19.8589496612549,1692.59704589844,17.3216361999512,348.517639160156,620.688110351562,0
"192",607847.742019141,8605459.71782044,818.539489746094,4.17799758911133,14.5539827346802,2.24871253967285,94.9869995117188,16.6887512207031,2373.51025390625,17.1011123657227,721.7236328125,1573.70764160156,0
"193",608857.387699954,8605459.71782044,839.251770019531,4.54411840438843,16.0330963134766,2.22505235671997,90.4031753540039,16.8207817077637,2328.36059570312,17.2435092926025,532.095825195312,2448.45874023438,0
"194",609867.033380768,8605459.71782044,784.618286132812,6.21511697769165,22.2063312530518,2.82397770881653,115.61060333252,19.676441192627,1942.96618652344,17.321252822876,554.886413574219,3049.36938476562,0
"195",610876.679061582,8605459.71782044,874.053100585938,7.69785499572754,27.8360481262207,3.37393379211426,103.301139831543,17.3169593811035,1752.18103027344,17.3045692443848,771.963500976562,3586.5517578125,0
"196",611886.324742396,8605459.71782044,763.109008789062,4.76925563812256,16.5637054443359,2.63923001289368,104.455451965332,16.6197376251221,1295.53649902344,17.2586441040039,592.48779296875,3740.80102539062,0
"197",612895.97042321,8605459.71782044,702.427551269531,4.15258407592773,14.3576641082764,2.25633811950684,92.7345581054688,15.7534017562866,607.945434570312,17.1894855499268,847.505432128906,3467.16137695312,0
"198",613905.616104023,8605459.71782044,651.883728027344,4.27886438369751,14.6154365539551,2.42966294288635,77.3859024047852,15.6091032028198,236.318328857422,16.662181854248,731.568481445312,3443.13012695312,0
"199",614915.261784837,8605459.71782044,653.006896972656,5.13605451583862,17.9592800140381,2.7249584197998,91.698371887207,15.7161884307861,246.293151855469,17.0608081817627,416.639282226562,3684.10546875,0
"200",615924.907465651,8605459.71782044,695.810974121094,3.20727896690369,10.8507661819458,1.92775082588196,70.8693618774414,13.7177810668945,920.167663574219,17.0865249633789,1030.71606445312,3442.271484375,0
"201",616934.553146464,8605459.71782044,653.111572265625,3.32609796524048,11.3324851989746,1.84010016918182,66.9252243041992,13.3582363128662,426.493347167969,17.0526447296143,1212.20910644531,2797.427734375,0
"202",617944.198827278,8605459.71782044,629.027709960938,2.8342170715332,9.39754867553711,1.75778543949127,55.5054626464844,14.8479413986206,473.662567138672,17.1350231170654,347.397796630859,2041.89587402344,0
"203",618953.844508092,8605459.71782044,617.600769042969,2.31179618835449,7.4647855758667,1.60577344894409,44.4634017944336,16.0847263336182,1251.68334960938,17.2590160369873,284.460144042969,1137.53771972656,0
"204",619963.490188906,8605459.71782044,606.491271972656,2.40100073814392,6.70502042770386,1.48702347278595,36.2163543701172,38.4734840393066,1882.59790039062,17.3228340148926,829.380187988281,408.645477294922,0
"228",600780.222253444,8604465.10049037,858.120544433594,11.8598375320435,43.609058380127,4.88084697723389,57.2457962036133,21.2373065948486,4985.4091796875,17.1290626525879,297.332763671875,305.052368164062,0
"229",601789.867934258,8604465.10049037,823.812805175781,9.55913639068604,35.5509071350098,4.06788778305054,60.6621551513672,19.5606136322021,4612.26904296875,17.1768074035645,162.424377441406,459.467712402344,0
"230",602799.513615072,8604465.10049037,709.837646484375,5.15794515609741,17.1403160095215,2.81353282928467,71.262321472168,19.6329784393311,3887.0712890625,17.3226795196533,297.612457275391,353.702392578125,0
"231",603809.159295886,8604465.10049037,688.106201171875,3.65138149261475,11.9582624435425,2.48849868774414,71.7317199707031,21.7015419006348,3182.36767578125,17.3205947875977,296.888427734375,305.068267822266,0
"233",605828.450657513,8604465.10049037,751.622680664062,7.10049486160278,25.3678035736084,3.57005572319031,94.5112762451172,21.6068954467773,2306.36108398438,17.2942276000977,179.205871582031,695.807312011719,0
"234",606838.096338327,8604465.10049037,808.9482421875,5.05778980255127,17.7561283111572,2.50581359863281,83.0508193969727,20.2828712463379,2409.53466796875,17.0421581268311,344.963012695312,1257.32019042969,0
"235",607847.742019141,8604465.10049037,853.577331542969,3.98297095298767,13.7026109695435,2.09783792495728,88.1331329345703,17.4619464874268,2126.99291992188,17.2069358825684,607.845092773438,1943.16259765625,0
"236",608857.387699954,8604465.10049037,915.775207519531,4.5271487236023,15.8160467147827,2.43767595291138,98.2521133422852,14.6584348678589,1496.25610351562,17.3169116973877,383.704925537109,2821.12744140625,0
"237",609867.033380768,8604465.10049037,828.052734375,6.5037899017334,23.08251953125,3.11864757537842,121.907424926758,17.0321998596191,1002.74487304688,17.3151054382324,1089.75122070312,3724.251953125,0
"238",610876.679061582,8604465.10049037,853.508239746094,8.572998046875,31.2849597930908,3.32048439979553,126.599174499512,17.081750869751,813.652954101562,17.2829246520996,1188.63415527344,4432.40234375,0
"239",611886.324742396,8604465.10049037,715.652770996094,5.93426561355591,21.2306900024414,2.54241943359375,100.054290771484,16.9760284423828,467.580780029297,17.1413116455078,1032.43383789062,4667.81787109375,0
"240",612895.97042321,8604465.10049037,664.150146484375,3.85339260101318,13.2786531448364,2.17332911491394,84.4468460083008,16.1251621246338,223.856063842773,16.8486747741699,411.792236328125,4448.12451171875,0
"241",613905.616104023,8604465.10049037,673.790649414062,3.41997957229614,11.4754362106323,2.10691285133362,80.4099044799805,14.1923542022705,616.601501464844,17.0520763397217,405.327117919922,4429.4150390625,0
"242",614915.261784837,8604465.10049037,664.32861328125,4.06901836395264,13.7906522750854,2.46723961830139,95.3271255493164,16.9212512969971,237.445709228516,16.9347476959229,335.4716796875,4593.361328125,0
"243",615924.907465651,8604465.10049037,682.699462890625,3.08490300178528,10.3279418945312,1.91715693473816,99.8650588989258,16.3466548919678,765.203063964844,17.0663414001465,850.558715820312,4172.97509765625,0
"244",616934.553146464,8604465.10049037,670.564697265625,2.6988365650177,8.78732490539551,1.79809951782227,84.1781463623047,13.8209657669067,594.059753417969,17.2210159301758,1235.9091796875,3364.53662109375,0
"245",617944.198827278,8604465.10049037,653.569030761719,2.64934825897217,8.76204872131348,1.70486998558044,74.8051681518555,13.2144746780396,358.910247802734,16.9511241912842,476.285980224609,2516.38159179688,0
"246",618953.844508092,8604465.10049037,633.808959960938,2.25960564613342,7.31060409545898,1.48087191581726,58.344913482666,16.1829891204834,1336.3876953125,17.3174114227295,338.166931152344,1717.11486816406,0
"247",619963.490188906,8604465.10049037,619.5078125,2.19906377792358,7.67129898071289,1.62254476547241,94.2957992553711,19.701135635376,2068.06689453125,17.1523361206055,688.815368652344,830.178466796875,0
"271",600780.222253444,8603470.4831603,905.021911621094,9.54463386535645,33.6400451660156,4.1418948173523,99.6129837036133,20.698709487915,4068.05541992188,17.3228359222412,768.935119628906,443.725524902344,0
"272",601789.867934258,8603470.4831603,857.0810546875,8.50353717803955,30.2861061096191,3.80901145935059,80.3024749755859,18.939697265625,4478.25732421875,17.1500988006592,305.998168945312,1239.18286132812,0
"273",602799.513615072,8603470.4831603,726.950500488281,5.21805286407471,18.3080215454102,2.64701223373413,78.1410446166992,17.4988117218018,4349.96240234375,17.1261177062988,468.228973388672,1181.10180664062,0
"274",603809.159295886,8603470.4831603,744.379333496094,5.85070562362671,20.4491519927979,3.19472026824951,75.0345993041992,16.13303565979,3704.1142578125,17.1865921020508,268.613586425781,1063.68542480469,0
"275",604818.804976699,8603470.4831603,805.278625488281,6.18010950088501,21.9461936950684,2.9554488658905,68.0012359619141,18.5129890441895,3144.76733398438,17.1379108428955,125.436744689941,873.197204589844,0
"276",605828.450657513,8603470.4831603,778.534912109375,6.86613655090332,24.3959903717041,3.39511489868164,103.353851318359,21.8587131500244,2678.45190429688,17.1230964660645,216.395355224609,1255.07055664062,0
"277",606838.096338327,8603470.4831603,867.688842773438,5.22656154632568,18.6023788452148,2.50944113731384,72.9052429199219,17.0337791442871,2031.90270996094,17.3194694519043,264.569519042969,2014.51892089844,0
"278",607847.742019141,8603470.4831603,937.584228515625,5.66502237319946,20.2714977264404,2.59429216384888,91.4346008300781,16.7562999725342,1405.25708007812,17.3031730651855,263.262603759766,2633.84790039062,0
"279",608857.387699954,8603470.4831603,864.960876464844,6.8442850112915,24.7675819396973,2.61519980430603,124.372276306152,14.8733367919922,729.690856933594,17.2900314331055,655.100036621094,3339.77734375,0
"280",609867.033380768,8603470.4831603,742.670837402344,6.81689929962158,24.4244422912598,2.94538927078247,137.055038452148,15.9609432220459,246.419570922852,16.8973045349121,883.089660644531,4171.91357421875,0
"281",610876.679061582,8603470.4831603,710.9384765625,6.79959535598755,24.2501544952393,3.04456043243408,122.290786743164,19.7928371429443,201.929794311523,16.7781982421875,407.328338623047,5057.12744140625,0
